"Qual é a tese central da obra ""Psicologia e Alquimia"" de Carl Jung?","A existência de analogias entre a alquimia, o dogma cristão e o simbolismo psicológico."
"Segundo Jung, o que a alquimia representa em relação à hipótese do inconsciente coletivo?","Ela é central para a hipótese, relacionando a natureza transcendente da psique."
"Como Jung define a ""pedra filosofal"" em termos psicológicos?","Uma realidade latente que existe dentro do próprio self, não um objeto externo."
"Qual era o objetivo real dos alquimistas ao usar símbolos esotéricos, segundo a perspectiva junguiana?",Comunicar um diálogo interno entre os vários componentes da psique humana.
"No livro ""Psicologia e Alquimia"", quem é o físico cujos sonhos são analisados por Jung?",Wolfgang Pauli.
"O que Jung descreve como a ""natureza dual"" da alquimia?",A coexistência de um processo químico com um componente místico paralelo.
"O que Jung chama de ""Grande Obra"" ($Opus$) dos alquimistas?",A analogia ao processo de reintegração e individuação da psique no paciente moderno.
Por que os alquimistas projetavam seus estados internos em objetos externos desconhecidos?,Devido à falta de uma distinção nítida entre sujeito e objeto no ser humano pré-científico.
O que é o estágio alquímico chamado de $nigredo$?,"O estágio de enegrecimento, comparado à depressão ou perda niilista de valor."
Qual é o paralelo estabelecido entre a $Lapis$ $Philosophorum$ e a figura de Cristo?,Ambos são vistos como figuras redentoras; o alquimista redime a natureza como Cristo redimiu o homem.
O que o símbolo alquímico $Mercurius$ representa no início e no fim da obra?,O espírito criador do mundo aprisionado na matéria e a união de todos os opostos.
Como Jung define a alquimia em termos de prática espiritual ocidental?,"Como um ""Yoga Ocidental"" projetado para facilitar a jornada interior de transformação."
O que o símbolo do dragão $Ouroboros$ representa na alquimia?,"A ideia de que o trabalho alquímico procede de um e retorna a um, como um círculo."
O que ocorre no processo de projeção durante o experimento alquímico?,O operador vivencia seu próprio inconsciente como se fossem propriedades da matéria.
"Segundo a APA (2014), qual a diferença fundamental entre medo e ansiedade?","O medo é uma resposta emocional imediata ao perigo, enquanto a ansiedade é uma antecipação futura."
"Qual a porcentagem da população brasileira que sofre de transtornos de ansiedade, segundo a OMS (2017)?","$9,3\%$."
Qual a principal divergência teórica que levou ao rompimento entre Jung e Freud?,A discordância sobre a pluralidade das pulsões e a natureza da libido.
Como a psicologia analítica junguiana concebe a ansiedade em contraste com o modelo positivista?,"Como um símbolo e uma necessidade de focar a atenção para si mesmo, não apenas como patologia."
"Na perspectiva junguiana, o que um símbolo expressa?",Algo relativamente desconhecido que não pode ser formulado de outra maneira.
O que é o processo de individuação na psicologia junguiana?,Um processo psíquico de amadurecimento e transformação para atingir a totalidade do homem.
"Qual a função do ""Livro Vermelho"" ($Liber$ $Novus$) na obra de Jung?","Propor uma nova dialética entre consciente e inconsciente, fundamentando sua teoria."
De que forma a ansiedade pode ser vista como uma defesa do ego?,Como uma proteção contra a invasão de conteúdos externos ou processos inconscientes não integrados.
"Segundo Valladão (2017), qual é uma das causas da neurose de ansiedade na contemporaneidade?",O esvaziamento simbólico do mundo e a perda de conexão com o transcendente.
"Na mitologia grega, qual figura personifica o estado de ansiedade relacionado ao tempo?","Cronos, que devorou seus filhos por temor de perder o trono."
O que o termo alquímico $prima$ $materia$ representa psicologicamente?,O estado original e caótico do inconsciente antes da transformação espiritual.
Qual é a visão de Jung sobre o uso de medicamentos para ansiedade?,Eles podem mascarar processos inconscientes que o indivíduo precisa resolver e integrar.
"O que caracteriza o ""inconsciente pessoal"" na teoria de Jung?",A camada que contém conteúdos pragmáticos e experiências do cotidiano do indivíduo.
"Como se define o ""inconsciente coletivo""?",Camadas profundas que contêm elementos arquetípicos e mitológicos herdados de toda a humanidade.
"Qual a diferença entre um ""sinal"" (ou insígnia) e um ""símbolo"" para Jung?",Sinais são planejados conscientemente; símbolos nascem espontaneamente do inconsciente e expressam o desconhecido.
O que representa a deusa Ênio na mitologia grega em relação à ansiedade?,"O horror que, junto com Fobos e Deimos, injetava medo nos corações dos inimigos."
"Para Jung, a neurose (incluindo a ansiedade) possui apenas aspectos negativos?","Não, ela pode ter o aspecto positivo de forçar o indivíduo a prestar atenção em si mesmo."
"Qual é a relação entre ansiedade e a função do ego, segundo Padua e Serbena (2019)?",A ansiedade pode ocorrer quando há perda das funções volitivas do ego ou estreitamento da consciência.
"O que significa a expressão latina $Obscurum$ $per$ $obscurius$, usada por Jung?",Explicar o mistério (da matéria) através de outro mistério ainda maior (o inconsciente).
"Na visão junguiana, o que o sintoma de ansiedade tenta resolver temporariamente?",A tensão entre os conteúdos do consciente e do inconsciente.
O que é a $coniunctio$ no processo alquímico-psicológico?,A união de opostos aparentemente irreconciliáveis para alcançar novos níveis de consciência.
"Por que Jung descreve o indivíduo ansioso moderno como ""massificado""?",Pela identificação excessiva com o grupo e a falta de conexão com seu próprio sentido existencial.
Qual o papel do desenho como estratégia de avaliação na perspectiva junguiana?,Ajudar o sujeito a expressar conteúdos invisíveis e lidar com mecanismos que geram ansiedade.
"Como o conceito de ""Self"" se relaciona com a ansiedade?",O equilíbrio entre o consciente e o inconsciente no encontro com o Self é o objetivo do tratamento da ansiedade.
Qual o significado de $cauda$ $pavonis$ na simbologia alquímica mencionada por Jung?,"O ""jogo de cores"" ou a exibição de cores que ocorre durante a transformação da matéria."
"Para Jung, qual é a origem real da alquimia?",As projeções de experiências psíquicas individuais de investigadores na escuridão da matéria.
Termo: $Lapis$ $Philosophorum$,"Definição: Pedra Filosofal, símbolo do self realizado e da meta final da individuação."
"O que Jung quer dizer com a frase: ""A psique cria os seus símbolos como uma planta produz flores""?",Que a produção de símbolos é um processo natural e espontâneo do crescimento psíquico.
"Como a ansiedade funciona como um ""alarme"" positivo?",Sinalizando que o sujeito deve retirar o foco do mundo externo e olhar para seus processos internos.
"O que é a ""função transcendente"" na psicologia analítica?",O reconciliador que surge do inconsciente após o conflito entre polos psíquicos opostos.
"Qual é a crítica de Jung à ""preguiça espiritual"" do Ocidente?",A falha em abraçar o mito cristão como uma jornada interior de transformação real.
O que é o $caput$ $corvi$ na alquimia?,"A ""cabeça do corvo"", um símbolo associado ao estágio de $nigredo$ e ao início do trabalho."
"De acordo com Giglio (1991), o que a pessoa com ansiedade teme internamente?","O medo de ser invadida por um perigo externo, que na verdade é uma fantasia projetada da psique."
"Qual a importância da espiritualidade para a saúde psíquica, segundo Jung?",É fundamental para o homem moderno reintegrar sua psique e evitar o adoecimento.
"O que Jung considera ser o ""Yoga Ocidental""?",A alquimia.
"Como a ansiedade se relaciona com a ""sombra"" no tratamento clínico?",O tratamento requer reconhecer conscientemente sombras ocultas que se manifestam como ansiedade.